region_name,date,wind_speed,water_temp
거제도,2023-01-01,5.8,16.8
거제도,2023-01-02,8.9,15.9
거제도,2023-01-03,8.5,15.1
거제도,2023-01-04,6.7,14.8
거제도,2023-01-05,4.3,14.9
거제도,2023-01-06,5.0,15.3
거제도,2023-01-07,7.3,15.5
거제도,2023-01-08,5.1,16.2
거제도,2023-01-09,6.8,16.2
거제도,2023-01-10,5.5,14.8
거제도,2023-01-11,4.7,14.6
거제도,2023-01-12,3.7,14.4
거제도,2023-01-13,8.3,14.7
거제도,2023-01-14,10.4,15.5
거제도,2023-01-15,7.9,15.5
거제도,2023-01-16,10.2,15.0
거제도,2023-01-17,6.9,15.0
거제도,2023-01-18,5.9,14.7
거제도,2023-01-19,5.1,15.6
거제도,2023-01-20,8.0,16.1
거제도,2023-01-21,4.9,15.6
거제도,2023-01-22,6.7,15.4
거제도,2023-01-23,6.5,15.1
거제도,2023-01-24,13.0,14.5
거제도,2023-01-25,6.7,13.8
거제도,2023-01-26,4.4,13.9
거제도,2023-01-27,10.0,13.5
거제도,2023-01-28,8.9,13.1
거제도,2023-01-29,6.9,13.3
거제도,2023-01-30,5.2,13.6
거제도,2023-01-31,5.7,14.0
거제도,2023-02-01,8.2,13.8
거제도,2023-02-02,5.8,14.1
거제도,2023-02-03,5.2,14.4
거제도,2023-02-04,7.3,14.0
거제도,2023-02-05,4.9,13.8
거제도,2023-02-06,4.1,13.8
거제도,2023-02-07,7.6,13.8
거제도,2023-02-08,5.5,14.4
거제도,2023-02-09,8.8,14.6
거제도,2023-02-10,7.9,14.8
거제도,2023-02-11,4.6,14.7
거제도,2023-02-12,6.9,14.6
거제도,2023-02-13,10.4,14.2
거제도,2023-02-14,7.0,14.2
거제도,2023-02-15,10.9,14.0
거제도,2023-02-16,4.4,14.0
거제도,2023-02-17,3.1,14.1
거제도,2023-02-18,5.0,14.2
거제도,2023-02-19,7.7,14.2
거제도,2023-02-20,7.9,13.8
거제도,2023-02-21,7.6,13.5
거제도,2023-02-22,4.1,13.5
거제도,2023-02-23,4.4,13.6
거제도,2023-02-24,6.0,13.9
거제도,2023-02-25,7.1,14.5
거제도,2023-02-26,4.5,14.7
거제도,2023-02-27,4.1,14.6
거제도,2023-02-28,7.4,14.2
거제도,2023-03-01,7.6,14.1
거제도,2023-03-02,6.5,14.9
거제도,2023-03-03,6.5,14.9
거제도,2023-03-04,6.5,15.1
거제도,2023-03-05,4.6,15.2
거제도,2023-03-06,5.7,15.5
거제도,2023-03-07,6.7,15.1
거제도,2023-03-08,5.4,15.0
거제도,2023-03-09,7.0,15.2
거제도,2023-03-10,3.7,15.4
거제도,2023-03-11,4.1,15.7
거제도,2023-03-12,7.1,15.4
거제도,2023-03-13,6.6,15.4
거제도,2023-03-14,5.1,15.7
거제도,2023-03-15,7.0,15.6
거제도,2023-03-16,5.7,15.5
거제도,2023-03-17,8.6,15.4
거제도,2023-03-18,4.2,15.5
거제도,2023-03-19,4.2,15.6
거제도,2023-03-20,3.1,15.3
거제도,2023-03-21,4.4,14.7
거제도,2023-03-22,5.6,14.8
거제도,2023-03-23,5.2,16.1
거제도,2023-03-24,10.6,16.6
거제도,2023-03-25,10.1,16.6
거제도,2023-03-26,4.0,16.4
거제도,2023-03-27,4.8,16.2
거제도,2023-03-28,4.1,16.3
거제도,2023-03-29,2.7,16.3
거제도,2023-03-30,2.6,16.2
거제도,2023-03-31,4.2,16.3
거제도,2023-04-01,8.6,16.6
거제도,2023-04-02,12.8,16.0
거제도,2023-04-03,11.7,15.9
거제도,2023-04-04,5.7,16.2
거제도,2023-04-05,10.4,16.1
거제도,2023-04-06,8.9,15.6
거제도,2023-04-07,7.3,15.6
거제도,2023-04-08,7.5,15.5
거제도,2023-04-09,5.9,15.5
거제도,2023-04-10,6.8,15.2
거제도,2023-04-11,8.4,15.2
거제도,2023-04-12,6.1,15.3
거제도,2023-04-13,4.7,15.3
거제도,2023-04-14,4.4,15.4
거제도,2023-04-15,5.5,15.8
거제도,2023-04-16,3.9,15.9
거제도,2023-04-20,3.2,17.1
거제도,2023-04-21,11.2,16.3
거제도,2023-04-22,12.1,15.5
거제도,2023-04-23,10.6,15.8
거제도,2023-04-24,9.2,16.3
거제도,2023-04-25,7.1,16.2
거제도,2023-04-26,6.7,15.9
거제도,2023-04-27,4.5,16.0
거제도,2023-04-28,3.0,16.6
거제도,2023-04-29,8.1,16.0
거제도,2023-04-30,6.9,15.8
거제도,2023-05-01,5.3,15.9
거제도,2023-05-02,1.7,16.7
거제도,2023-05-03,2.0,17.0
거제도,2023-05-04,3.6,16.4
거제도,2023-05-05,12.1,15.6
거제도,2023-05-06,11.1,15.2
거제도,2023-05-07,12.5,15.1
거제도,2023-05-08,8.1,15.5
거제도,2023-05-09,4.1,15.9
거제도,2023-05-10,2.5,16.2
거제도,2023-05-11,7.6,16.0
거제도,2023-05-12,3.5,16.5
거제도,2023-05-13,4.1,16.1
거제도,2023-05-14,3.9,16.5
거제도,2023-05-15,3.2,16.7
거제도,2023-05-16,6.7,16.6
거제도,2023-05-17,4.7,16.9
거제도,2023-05-18,4.1,17.2
거제도,2023-05-19,8.6,17.3
거제도,2023-05-20,3.9,17.6
거제도,2023-05-21,6.0,17.5
거제도,2023-05-22,3.9,17.6
거제도,2023-05-23,3.8,17.8
거제도,2023-05-24,3.1,18.0
거제도,2023-05-25,2.5,18.5
거제도,2023-05-26,3.0,18.6
거제도,2023-05-27,1.4,19.4
거제도,2023-05-28,4.4,19.3
거제도,2023-05-29,5.3,18.8
거제도,2023-05-30,7.8,18.9
거제도,2023-05-31,8.4,19.3
거제도,2023-06-01,4.4,19.1
거제도,2023-06-02,3.5,20.4
거제도,2023-06-03,4.2,20.2
거제도,2023-06-04,3.5,19.9
거제도,2023-06-05,3.3,19.3
거제도,2023-06-06,3.5,18.9
거제도,2023-06-07,5.2,19.0
거제도,2023-06-08,2.7,19.8
거제도,2023-06-09,5.6,19.1
